question_id,question_code,disease_id,scale_id,ds_map_id,question_text,answer_type,min_value,max_value,is_required,skip_logic,display_order,is_common_scale,created_at,marathi_question_text
ALSFRS-R/003,ALSFRS-R/003,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Swallowing,radio,,,true,,3,false,2026-09-04 00:00:00+00,निगळणे
ALSFRS-R/004,ALSFRS-R/004,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Handwriting,radio,,,true,,4,false,2026-09-04 00:00:00+00,हस्तलेख
ALSFRS-R/005,ALSFRS-R/005,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Cutting food and handling utensils,radio,,,true,,5,false,2026-09-04 00:00:00+00,अन्न कापणे आणि भांडी हाताळणे
ALSFRS-R/006,ALSFRS-R/006,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Dressing and hygiene,radio,,,true,,6,false,2026-09-04 00:00:00+00,पोशाख आणि स्वच्छतेची काळजी
ALSFRS-R/007,ALSFRS-R/007,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Turning in bed and adjusting bed clothes,radio,,,true,,7,false,2026-09-04 00:00:00+00,पलंगावर वळणे आणि पलंगाचे कपडे जुळवणे
ALSFRS-R/008,ALSFRS-R/008,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Walking,radio,,,true,,8,false,2026-09-04 00:00:00+00,चालणे
ALSFRS-R/009,ALSFRS-R/009,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Climbing stairs,radio,,,true,,9,false,2026-09-04 00:00:00+00,पायऱ्या चढणे
ALSFRS-R/010,ALSFRS-R/010,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Breathing,radio,,,true,,10,false,2026-09-04 00:00:00+00,श्वास
AMTS/001,AMTS/001,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,How old are you?,radio,,,true,,1,false,2026-09-04 00:00:00+00,तुमचे वय किती आहे?
AMTS/002,AMTS/002,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What time is it (to nearest hour)?,radio,,,true,,2,false,2026-09-04 00:00:00+00,सध्या किती वाजले आहे (जवळच्या तासाप्रमाणे)?
AMTS/003,AMTS/003,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,Recall address: 42 West Street This should be repeated by the patient to ensure it has been heard correctly.,radio,,,true,,3,false,2026-09-04 00:00:00+00,पत्ता आठवून पहा: ४२ वेस्ट स्ट्रीट - हे रुग्णाला योग्य प्रकारे ऐकले गेले आहे याची खात्री करण्यासाठी पुन्हा सांगितले पाहिजे.
AMTS/004,AMTS/004,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What year is it?,radio,,,true,,4,false,2026-09-04 00:00:00+00,हे वर्ष कोणते आहे?
AMTS/005,AMTS/005,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What is your address?,radio,,,true,,5,false,2026-09-04 00:00:00+00,तुमचा पत्ता काय आहे?
AMTS/006,AMTS/006,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,"What jobs do these people do? (Show the patient two pictures: a postman and a cook) or 
Who are these two people? (Show pictures of Pope and Queen.)",radio,,,true,,6,false,2026-09-04 00:00:00+00,हे लोक कोणती कामे करतात? (रुग्णाला दोन चित्रे दाखवा: एक टपालवाहक आणि एक स्वयंपाकी) किंवा ही दोन व्यक्ती कोण आहेत? मजकूर: पोप आणि राणीचे फोटो दाखवा.
AMTS/007,AMTS/007,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What is your date of birth?,radio,,,true,,7,false,2026-09-04 00:00:00+00,तुमची जन्म तारीख काय आहे?
AMTS/008,AMTS/008,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What year did the First World War start?,radio,,,true,,8,false,2026-09-04 00:00:00+00,पहिले महायुद्ध कोणत्या वर्षी सुरू झाले?
AMTS/009,AMTS/009,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What is the name of the present monarch?,radio,,,true,,9,false,2026-09-04 00:00:00+00,सध्याचे राजे/राणी यांचे नाव काय आहे?
AMTS/010,AMTS/010,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,Count backwards 20 to 1,radio,,,true,,10,false,2026-09-04 00:00:00+00,मागे २० ते १ पर्यंत मोजा.
ASRS-V1.1/001,ASRS-V1.1/001,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,"How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?",radio,,,true,,1,false,2026-09-04 00:00:00+00,आव्हानात्मक भाग पूर्ण झाल्यावर प्रकल्पाच्या अंतिम तपशीलांची सांगड घालण्यात तुम्हाला किती वेळा अडचण येते?
ASRS-V1.1/002,ASRS-V1.1/002,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you have difficulty getting things in order when you have to do a task that requires organization?,radio,,,true,,2,false,2026-09-04 00:00:00+00,जेव्हा तुम्हाला संघटित काम करावे लागते तेव्हा तुम्हाला गोष्टी व्यवस्थित करण्यात किती वेळा अडचण येते?
ASRS-V1.1/003,ASRS-V1.1/003,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you have problems remembering appointments or obligations?,radio,,,true,,3,false,2026-09-04 00:00:00+00,तुम्हाला भेटी किंवा जबाबदाऱ्या लक्षात ठेवण्यात किती वेळा समस्या येते?
ASRS-V1.1/004,ASRS-V1.1/004,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,"When you have a task that requires a lot of thought, how often do you avoid or delay getting started?",radio,,,true,,4,false,2026-09-04 00:00:00+00,"जेव्हा तुम्हाला एखादे काम करायचे असते ज्यासाठी खूप विचार करावा लागतो, तेव्हा तुम्ही किती वेळा काम सुरू करणे टाळता किंवा विलंब करता?"
ASRS-V1.1/005,ASRS-V1.1/005,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?,radio,,,true,,5,false,2026-09-04 00:00:00+00,तुम्हाला दीर्घकाळ बसून राहावे लागते तेव्हा तुमचे हात किंवा पाय किती वेळा हेलकावे घालतात किंवा हेलकावे घालून हलता?
ASRS-V1.1/006,ASRS-V1.1/006,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,"How often do you feel overly active and compelled to do things, like you were driven by a motor?",radio,,,true,,6,false,2026-09-04 00:00:00+00,"तुम्हाला किती वेळा असे वाटते की तुम्ही अति सक्रिय आहात आणि गोष्टी करण्यासाठी तुम्ही आग्रही आहात, जणू काही तुम्ही मोटारीने चालवले जात आहात?"
ASRS-V1.1/007,ASRS-V1.1/007,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you make careless mistakes when you have to work on a boring or difficult project?,radio,,,true,,7,false,2026-09-04 00:00:00+00,कंटाळवाणा किंवा कठीण प्रकल्पावर काम करताना तुम्ही किती वेळा निष्काळजी चुका करता?
ASRS-V1.1/008,ASRS-V1.1/008,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you have difficulty keeping your attention when you are doing boring or repetitive work?,radio,,,true,,8,false,2026-09-04 00:00:00+00,तुम्हाला कंटाळवाणे किंवा पुनरावृत्ती असलेले काम करताना तुमचे लक्ष केंद्रित ठेवणे किती वेळा कठीण जाते?
ASRS-V1.1/009,ASRS-V1.1/009,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,"How often do you have difficulty concentrating on what people say to you, even when they are speaking to you directly?",radio,,,true,,9,false,2026-09-04 00:00:00+00,लोक तुमच्याशी थेट बोलत असले तरीही तुम्हाला त्यांच्या बोलण्यावर लक्ष केंद्रित करण्यात किती वेळा अडचण येते?
ASRS-V1.1/010,ASRS-V1.1/010,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you misplace or have difficulty finding things at home or at work?,radio,,,true,,10,false,2026-09-04 00:00:00+00,तुम्ही किती वेळा गोष्टी घरी किंवा कार्यालयात विसरता किंवा शोधण्यास त्रास होतो?
ASRS-V1.1/011,ASRS-V1.1/011,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often are you distracted by activity or noise around you?,radio,,,true,,11,false,2026-09-04 00:00:00+00,तुमच्या सभोवतालच्या क्रियाकलाप किंवा आवाजामुळे तुम्हाला किती वेळा विचलित होता येते?
ASRS-V1.1/012,ASRS-V1.1/012,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you leave your seat in meetings or other situations in which you are expected to remain seated?,radio,,,true,,12,false,2026-09-04 00:00:00+00,बैठकांमध्ये किंवा ज्या परिस्थितीत तुम्ही बसलेले राहावे अशी अपेक्षा आहे अशा इतर परिस्थितींमध्ये तुम्ही किती वेळा तुमची आसनस्थ स्थिती सोडता?
ASRS-V1.1/013,ASRS-V1.1/013,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you feel restless or fidgety?,radio,,,true,,13,false,2026-09-04 00:00:00+00,तुम्हाला किती वेळा अस्वस्थ किंवा घामेजलेले वाटते?
ASRS-V1.1/014,ASRS-V1.1/014,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you have difficulty unwinding and relaxing when you have time to yourself?,radio,,,true,,14,false,2026-09-04 00:00:00+00,एकांत वेळ मिळाल्यावर तुम्हाला कधी कधी शांत होण्यासाठी आणि आराम करण्यासाठी त्रास होतो का?
ASRS-V1.1/015,ASRS-V1.1/015,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you find yourself talking too much when you are in social situations?,radio,,,true,,15,false,2026-09-04 00:00:00+00,सामाजिक परिस्थितीत तुम्ही किती वेळा जास्त बोलता?
ASRS-V1.1/016,ASRS-V1.1/016,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,"When you’re in a conversation, how often do you find yourself finishing the sentences of the people you are talking to, before they can finish them themselves?",radio,,,true,,16,false,2026-09-04 00:00:00+00,"जेव्हा तुम्ही संभाषणात असता, तेव्हा तुम्ही ज्यांच्याशी बोलत आहात त्यांच्या वाक्ये ते स्वतः पूर्ण करू शकण्यापूर्वीच तुम्ही पूर्ण करत आहात असे तुम्हाला किती वेळा वाटते?"
ASRS-V1.1/017,ASRS-V1.1/017,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you have difficulty waiting your turn in situations when turn taking is required?,radio,,,true,,17,false,2026-09-04 00:00:00+00,वळण घेणे आवश्यक असलेल्या परिस्थितीत तुम्हाला तुमच्या वाट्याची प्रतीक्षा करण्यात किती वेळा अडचण येते?
ASRS-V1.1/018,ASRS-V1.1/018,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you interrupt others when they are busy?,radio,,,true,,18,false,2026-09-04 00:00:00+00,तुम्ही इतरांना जेव्हा ते कामात व्यस्त असतात तेव्हा किती वेळा व्यत्यय आणता?
BarthelIndex/001,BarthelIndex/001,,BARTHEL/2026,,FEEDING,radio,,,true,,1,true,2026-09-04 00:00:00+00,भोजन
BarthelIndex/002,BarthelIndex/002,,BARTHEL/2026,,BATHING,radio,,,true,,2,true,2026-09-04 00:00:00+00,आंघोळ
BarthelIndex/003,BarthelIndex/003,,BARTHEL/2026,,GROOMING,radio,,,true,,3,true,2026-09-04 00:00:00+00,संगोपन
BarthelIndex/004,BarthelIndex/004,,BARTHEL/2026,,DRESSING,radio,,,true,,4,true,2026-09-04 00:00:00+00,कपडे
BarthelIndex/005,BarthelIndex/005,,BARTHEL/2026,,BOWELS,radio,,,true,,5,true,2026-09-04 00:00:00+00,आतडे
BarthelIndex/006,BarthelIndex/006,,BARTHEL/2026,,BLADDER,radio,,,true,,6,true,2026-09-04 00:00:00+00,मूत्राशय
BarthelIndex/007,BarthelIndex/007,,BARTHEL/2026,,TOILET USE,radio,,,true,,7,true,2026-09-04 00:00:00+00,शौचालय
BarthelIndex/008,BarthelIndex/008,,BARTHEL/2026,,TRANSFERS (BED TO CHAIR AND BACK),radio,,,true,,8,true,2026-09-04 00:00:00+00,स्थानांतर
BarthelIndex/009,BarthelIndex/009,,BARTHEL/2026,,MOBILITY (ON LEVEL SURFACES),radio,,,true,,9,true,2026-09-04 00:00:00+00,गतिशीलता (स्तर पृष्ठभागांवर)
BarthelIndex/010,BarthelIndex/010,,BARTHEL/2026,,STAIRS,radio,,,true,,10,true,2026-09-04 00:00:00+00,पायऱ्या
BDI-II/001,BDI-II/001,,BDI-II/2026,,Sadness,radio,,,true,,1,true,2026-09-04 00:00:00+00,दुःख
BDI-II/002,BDI-II/002,,BDI-II/2026,,Pessimism,radio,,,true,,2,true,2026-09-04 00:00:00+00,निराशावाद
BDI-II/003,BDI-II/003,,BDI-II/2026,,Past Failure,radio,,,true,,3,true,2026-09-04 00:00:00+00,भूतकाळातील अपयश
BDI-II/004,BDI-II/004,,BDI-II/2026,,Loss of Pleasure,radio,,,true,,4,true,2026-09-04 00:00:00+00,आनंदात घट
BDI-II/005,BDI-II/005,,BDI-II/2026,,Guilty Feelings,radio,,,true,,5,true,2026-09-04 00:00:00+00,अपराधीपणा
BDI-II/006,BDI-II/006,,BDI-II/2026,,Punishment Feelings,radio,,,true,,6,true,2026-09-04 00:00:00+00,शिक्षा
BDI-II/007,BDI-II/007,,BDI-II/2026,,Self-Dislike,radio,,,true,,7,true,2026-09-04 00:00:00+00,स्वत:विषयी द्वेष
BDI-II/008,BDI-II/008,,BDI-II/2026,,Self-Criticalness,radio,,,true,,8,true,2026-09-04 00:00:00+00,आत्म-आलोचक
BDI-II/009,BDI-II/009,,BDI-II/2026,,Suicidal Thoughts or Wishes,radio,,,true,,9,true,2026-09-04 00:00:00+00,आत्मघाती विचार किंवा इच्छा
BDI-II/010,BDI-II/010,,BDI-II/2026,,Crying,radio,,,true,,10,true,2026-09-04 00:00:00+00,रडणे
BDI-II/011,BDI-II/011,,BDI-II/2026,,Agitation,radio,,,true,,11,true,2026-09-04 00:00:00+00,आंदोलन
BDI-II/012,BDI-II/012,,BDI-II/2026,,Loss of Interest,radio,,,true,,12,true,2026-09-04 00:00:00+00,रसहीनता
BDI-II/013,BDI-II/013,,BDI-II/2026,,Indecisiveness,radio,,,true,,13,true,2026-09-04 00:00:00+00,अनिश्चय
BDI-II/014,BDI-II/014,,BDI-II/2026,,Worthlessness,radio,,,true,,14,true,2026-09-04 00:00:00+00,निरुपयोगी
BDI-II/015,BDI-II/015,,BDI-II/2026,,Loss of Energy,radio,,,true,,15,true,2026-09-04 00:00:00+00,ऊर्जा क्षय
BDI-II/016,BDI-II/016,,BDI-II/2026,,Changes in Sleeping Pattern,radio,,,true,,16,true,2026-09-04 00:00:00+00,झोपेच्या पद्धतीत बदल
BDI-II/017,BDI-II/017,,BDI-II/2026,,Irritability,radio,,,true,,17,true,2026-09-04 00:00:00+00,चिडचिडेपणा
BDI-II/018,BDI-II/018,,BDI-II/2026,,Changes in Appetite,radio,,,true,,18,true,2026-09-04 00:00:00+00,भूकबळीतील बदल
BDI-II/019,BDI-II/019,,BDI-II/2026,,Concentration Difficulty,radio,,,true,,19,true,2026-09-04 00:00:00+00,एकाग्रता कमी होणे
BDI-II/020,BDI-II/020,,BDI-II/2026,,Tiredness or Fatigue,radio,,,true,,20,true,2026-09-04 00:00:00+00,थकवा
BDI-II/021,BDI-II/021,,BDI-II/2026,,Loss of Interest in Sex,radio,,,true,,21,true,2026-09-04 00:00:00+00,लैंगिक संबंधांमध्ये रस कमी होणे
COMPASS-31/001,COMPASS-31/001,,COMPASS-31/2026,,"In the past year, have you ever felt faint, dizzy, “goofy”, or had difficulty thinking soon after standing up from a sitting or lying position?",radio,,,true,If No ? skip to Q5,1,true,2026-09-04 00:00:00+00,"गेल्या वर्षात, तुम्हाला कधी चक्कर आली, चक्कर आली, मूर्ख वाटले किंवा बसून किंवा झोपून उठल्यानंतर लगेच विचार करण्यास त्रास झाला का?"
COMPASS-31/002,COMPASS-31/002,,COMPASS-31/2026,,"When standing up, how frequently do you get these feelings or symptoms?",radio,,,true,,2,true,2026-09-04 00:00:00+00,उभे राहिल्यावर तुम्हाला ही भावना किंवा लक्षणे किती वेळा येतात?
COMPASS-31/003,COMPASS-31/003,,COMPASS-31/2026,,How would you rate the severity of these feelings or symptoms?,radio,,,true,,3,true,2026-09-04 00:00:00+00,या भावना किंवा लक्षणांची तीव्रता तुम्ही कशी मोजाल?
COMPASS-31/004,COMPASS-31/004,,COMPASS-31/2026,,"In the past year, have these feelings or symptoms that you have experienced:",radio,,,true,,4,true,2026-09-04 00:00:00+00,"गेल्या वर्षी, तुम्ही अनुभवलेल्या या भावना किंवा लक्षणे आहेत का:"
COMPASS-31/005,COMPASS-31/005,,COMPASS-31/2026,,"In the past year, have you ever noticed color changes in your skin, such as red, white, or purple?",radio,,,true,If No ? skip to Q8,5,true,2026-09-04 00:00:00+00,"गेल्या वर्षात, तुमच्या त्वचेमध्ये लाल, पांढरा किंवा जांभ्या रंगाचे बदल कधी लक्षात आले आहेत का?"
COMPASS-31/006,COMPASS-31/006,,COMPASS-31/2026,,What parts of your body are affected by these color changes? (Check all that apply),radio,,,true,,6,true,2026-09-04 00:00:00+00,तुमच्या शरीराच्या कोणत्या भागांवर या रंग बदलांचा परिणाम होतो? (लागू असलेल्या सर्व गोष्टी तपासा)
COMPASS-31/007,COMPASS-31/007,,COMPASS-31/2026,,Are these changes in your skin color:,radio,,,true,,7,true,2026-09-04 00:00:00+00,तुमच्या त्वचेच्या रंगात काही बदल झाले आहेत का?
COMPASS-31/008,COMPASS-31/008,,COMPASS-31/2026,,"In the past 5 years, what changes, if any, have occurred in your general body sweating?",radio,,,true,,8,true,2026-09-04 00:00:00+00,गेल्या पाच वर्षांत तुमच्या सामान्य शरीराच्या घामोळ्यांमध्ये काही बदल झाले आहेत का?
COMPASS-31/009,COMPASS-31/009,,COMPASS-31/2026,,Do your eyes feel excessively dry?,radio,,,true,,9,true,2026-09-04 00:00:00+00,तुमचे डोळे जास्त कोरडे वाटतात का?
COMPASS-31/010,COMPASS-31/010,,COMPASS-31/2026,,Does your mouth feel excessively dry?,radio,,,true,,10,true,2026-09-04 00:00:00+00,तुमचे तोंड खूप कोरडे वाटते का?
COMPASS-31/011,COMPASS-31/011,,COMPASS-31/2026,,"For the symptom of dry eyes or dry mouth that you have had for the longest period of time, is this symptom:",radio,,,true,,11,true,2026-09-04 00:00:00+00,"डोळ्यांचे कोरडे होणे किंवा तोंड कोरडे होणे, हे दीर्घकाळ तुम्हाला जाणवत आहे का?"
COMPASS-31/012,COMPASS-31/012,,COMPASS-31/2026,,"In the past year, have you noticed any changes in how quickly you get full when eating a meal?",radio,,,true,,12,true,2026-09-04 00:00:00+00,"गेल्या वर्षात, जेवताना तुम्हाला पोट लवकर भरल्यासारखे वाटते का यात काही बदल दिसून आले आहेत का?"
COMPASS-31/013,COMPASS-31/013,,COMPASS-31/2026,,"In the past year, have you felt excessively full or persistently full (bloated feeling) after a meal?",radio,,,true,,13,true,2026-09-04 00:00:00+00,"गेल्या वर्षात, जेवल्यानंतर तुम्हाला अति भरल्यासारखे वाटले आहे की सतत भरल्यासारखे वाटत आहे (फुगलेली भावना) ?"
COMPASS-31/014,COMPASS-31/014,,COMPASS-31/2026,,"In the past year, have you vomited after a meal?",radio,,,true,,14,true,2026-09-04 00:00:00+00,"गेल्या वर्षी, जेवणानंतर तुम्हाला उलटी झाल्या का?"
COMPASS-31/015,COMPASS-31/015,,COMPASS-31/2026,,"In the past year, have you had a cramping or colicky abdominal pain?",radio,,,true,,15,true,2026-09-04 00:00:00+00,"गेल्या वर्षी, तुम्हाला पेटके येणे किंवा पेटके येऊन पोटदुखीचा त्रास झाला होता का?"
COMPASS-31/016,COMPASS-31/016,,COMPASS-31/2026,,"In the past year, have you had any bouts of diarrhea?",radio,,,true,If No ? skip to Q20,16,true,2026-09-04 00:00:00+00,"गेल्या वर्षी, तुम्हाला काही वेळा अतिसार झाला होता का?"
COMPASS-31/017,COMPASS-31/017,,COMPASS-31/2026,,How frequently does this occur?,radio,,,true,,17,true,2026-09-04 00:00:00+00,हे किती वेळा घडते?
COMPASS-31/018,COMPASS-31/018,,COMPASS-31/2026,,How severe are these bouts of diarrhea?,radio,,,true,,18,true,2026-09-04 00:00:00+00,या अतिसाराच्या प्रसंगांची तीव्रता किती असते?
COMPASS-31/019,COMPASS-31/019,,COMPASS-31/2026,,Are your bouts of diarrhea getting:,radio,,,true,,19,true,2026-09-04 00:00:00+00,तुमच्या मळमळीच्या प्रसंगांमध्ये हे होत आहे का:
COMPASS-31/020,COMPASS-31/020,,COMPASS-31/2026,,"In the past year, have you been constipated?",radio,,,true,If No ? skip to Q24,20,true,2026-09-04 00:00:00+00,गेल्या वर्षी तुम्हाला बद्धकोष्ठता होती का?
COMPASS-31/021,COMPASS-31/021,,COMPASS-31/2026,,How frequently are you constipated?,radio,,,true,,21,true,2026-09-04 00:00:00+00,तुम्हाला किती वेळा बद्धकोष्ठता होते?
COMPASS-31/022,COMPASS-31/022,,COMPASS-31/2026,,How severe are these episodes of constipation?,radio,,,true,,22,true,2026-09-04 00:00:00+00,या कब्जच्या प्रसंगांची तीव्रता किती आहे?
COMPASS-31/023,COMPASS-31/023,,COMPASS-31/2026,,Is your constipation getting:,radio,,,true,,23,true,2026-09-04 00:00:00+00,तुम्हाला बद्धकोष्ठता होत आहे का:
COMPASS-31/024,COMPASS-31/024,,COMPASS-31/2026,,"In the past year, have you ever lost control of your bladder function?",radio,,,true,,24,true,2026-09-04 00:00:00+00,"गेल्या वर्षी, तुम्ही कधी तुमच्या मूत्राशयाच्या कार्यावर नियंत्रण गमावले आहे का?"
COMPASS-31/025,COMPASS-31/025,,COMPASS-31/2026,,"In the past year, have you had difficulty passing urine?",radio,,,true,,25,true,2026-09-04 00:00:00+00,"गेल्या वर्षात, तुम्हाला लघवी करण्यासाठी त्रास झाला का?"
COMPASS-31/026,COMPASS-31/026,,COMPASS-31/2026,,"In the past year, have you had trouble completely emptying your bladder?",radio,,,true,,26,true,2026-09-04 00:00:00+00,"गेल्या वर्षात, तुम्हाला मूत्राशय पूर्णपणे रिकामे करण्यात त्रास झाला आहे का?"
COMPASS-31/027,COMPASS-31/027,,COMPASS-31/2026,,"In the past year, without sunglasses or tinted glasses, has bright light bothered your eyes?",radio,,,true,If Never ? skip to Q29,27,true,2026-09-04 00:00:00+00,"गेल्या वर्षी, धूप किंवा रंगीत चष्मा न घालता, तेजस्वी प्रकाशामुळे तुमच्या डोळ्यांना त्रास झाला का?"
COMPASS-31/028,COMPASS-31/028,,COMPASS-31/2026,,How severe is this sensitivity to bright light?,radio,,,true,,28,true,2026-09-04 00:00:00+00,ही तेजस्वी प्रकाशाबद्दलची संवेदनशीलता किती तीव्र आहे?
COMPASS-31/029,COMPASS-31/029,,COMPASS-31/2026,,"In the past year, have you had trouble focusing your eyes?",radio,,,true,If Never ? skip to Q31,29,true,2026-09-04 00:00:00+00,"गेल्या वर्षी, तुम्हाला डोळ्यांवर लक्ष केंद्रित करण्यास त्रास झाला होता का?"
COMPASS-31/030,COMPASS-31/030,,COMPASS-31/2026,,How severe is this focusing problem?,radio,,,true,,30,true,2026-09-04 00:00:00+00,ही लक्ष केंद्रित करण्याची समस्या किती गंभीर आहे?
COMPASS-31/031,COMPASS-31/031,,COMPASS-31/2026,,Is the most troublesome symptom with your eyes (i.e. sensitivity to bright light or trouble focusing) getting:,radio,,,true,,31,true,2026-09-04 00:00:00+00,डोळ्यांशी संबंधित सर्वात त्रासदायक लक्षण (म्हणजे तेजस्वी प्रकाशाची संवेदनशीलता किंवा लक्ष केंद्रित करण्यात अडचण) होत आहे का?
DASS-21/001,DASS-21/001,,DASS-21/2026,,I found it hard to wind down,radio,,,true,,1,true,2026-09-04 00:00:00+00,मला ते बंद करणे कठीण झाले.
DASS-21/002,DASS-21/002,,DASS-21/2026,,I was aware of dryness of my mouth,radio,,,true,,2,true,2026-09-04 00:00:00+00,मला तोंड कोरडे पडण्याची जाणीव होती.
DASS-21/003,DASS-21/003,,DASS-21/2026,,I couldn’t seem to experience any positive feeling at all,radio,,,true,,3,true,2026-09-04 00:00:00+00,मला काही सकारात्मक भावना अनुभवता आल्या नाहीत.
DASS-21/004,DASS-21/004,,DASS-21/2026,,"I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)",radio,,,true,,4,true,2026-09-04 00:00:00+00,"मला श्वास घेण्यास त्रास झाला (उदाहरणार्थ, अति वेगवान श्वासोच्छ्वास, शारीरिक परिश्रम नसतानाही श्वास लागणे)"
DASS-21/005,DASS-21/005,,DASS-21/2026,,I found it difficult to work up the initiative to do things,radio,,,true,,5,true,2026-09-04 00:00:00+00,गोष्टी करण्यासाठी पुढाकार घेणे मला कठीण वाटले.
DASS-21/006,DASS-21/006,,DASS-21/2026,,I tended to over-react to situations,radio,,,true,,6,true,2026-09-04 00:00:00+00,मी परिस्थितीवर अतिरेकी प्रतिक्रिया देत असे.
DASS-21/007,DASS-21/007,,DASS-21/2026,,I experienced trembling (e.g. in the hands),radio,,,true,,7,true,2026-09-04 00:00:00+00,मला थरथर कापत होते (उदा. हातांमध्ये)
DASS-21/008,DASS-21/008,,DASS-21/2026,,I felt that I was using a lot of nervous energy,radio,,,true,,8,true,2026-09-04 00:00:00+00,मला वाटले की मी खूप नर्व्हस एनर्जी वापरत आहे.
