question_id,question_code,disease_id,scale_id,ds_map_id,question_text,answer_type,min_value,max_value,is_required,skip_logic,display_order,is_common_scale,created_at,hindi_question_text
ASRS-V1.1/010,ASRS-V1.1/010,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you misplace or have difficulty finding things at home or at work?,radio,,,true,,10,false,2026-09-04 00:00:00+00,आप कितनी बार घर या काम पर चीज़ें गलत जगह पर रखते हैं या ढूंढने में परेशानी का सामना करते हैं?
ASRS-V1.1/011,ASRS-V1.1/011,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often are you distracted by activity or noise around you?,radio,,,true,,11,false,2026-09-04 00:00:00+00,आप कितनी बार अपने आस-पास की गतिविधि या शोर से विचलित होते हैं?
ASRS-V1.1/012,ASRS-V1.1/012,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you leave your seat in meetings or other situations in which you are expected to remain seated?,radio,,,true,,12,false,2026-09-04 00:00:00+00,आप कितनी बार बैठकों या अन्य स्थितियों में अपनी सीट छोड़ देते हैं जिसमें आपको बैठे रहना अपेक्षित होता है?
ASRS-V1.1/013,ASRS-V1.1/013,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you feel restless or fidgety?,radio,,,true,,13,false,2026-09-04 00:00:00+00,आप कितनी बार बेचैन या घबराए हुए महसूस करते हैं?
ASRS-V1.1/014,ASRS-V1.1/014,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you have difficulty unwinding and relaxing when you have time to yourself?,radio,,,true,,14,false,2026-09-04 00:00:00+00,जब आपके पास अकेले समय होता है तो आपको आराम करने और शांत होने में कितनी बार कठिनाई होती है?
ASRS-V1.1/015,ASRS-V1.1/015,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you find yourself talking too much when you are in social situations?,radio,,,true,,15,false,2026-09-04 00:00:00+00,जब आप सामाजिक स्थितियों में होते हैं तो आप कितनी बार बहुत अधिक बात करते हैं?
ASRS-V1.1/016,ASRS-V1.1/016,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,"When you’re in a conversation, how often do you find yourself finishing the sentences of the people you are talking to, before they can finish them themselves?",radio,,,true,,16,false,2026-09-04 00:00:00+00,"जब आप किसी बातचीत में होते हैं, तो आप कितनी बार ऐसा पाते हैं कि आप जिन लोगों से बात कर रहे हैं, वे खुद उन्हें खत्म करने से पहले ही आप उनके वाक्यों को समाप्त कर देते हैं?"
ASRS-V1.1/017,ASRS-V1.1/017,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you have difficulty waiting your turn in situations when turn taking is required?,radio,,,true,,17,false,2026-09-04 00:00:00+00,आपको कितनी बार ऐसी स्थितियों में बारी-बारी से प्रतीक्षा करने में कठिनाई होती है जब बारी-बारी से प्रतीक्षा करने की आवश्यकता होती है?
ASRS-V1.1/018,ASRS-V1.1/018,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you interrupt others when they are busy?,radio,,,true,,18,false,2026-09-04 00:00:00+00,जब कोई व्यस्त होता है तो आप कितनी बार दूसरों को बाधित करते हैं?
BarthelIndex/001,BarthelIndex/001,,BARTHEL/2026,,FEEDING,radio,,,true,,1,true,2026-09-04 00:00:00+00,भोजन
BarthelIndex/002,BarthelIndex/002,,BARTHEL/2026,,BATHING,radio,,,true,,2,true,2026-09-04 00:00:00+00,नहाना
BarthelIndex/003,BarthelIndex/003,,BARTHEL/2026,,GROOMING,radio,,,true,,3,true,2026-09-04 00:00:00+00,सजावट
BarthelIndex/004,BarthelIndex/004,,BARTHEL/2026,,DRESSING,radio,,,true,,4,true,2026-09-04 00:00:00+00,कपड़े
BarthelIndex/005,BarthelIndex/005,,BARTHEL/2026,,BOWELS,radio,,,true,,5,true,2026-09-04 00:00:00+00,आमाशय
BarthelIndex/006,BarthelIndex/006,,BARTHEL/2026,,BLADDER,radio,,,true,,6,true,2026-09-04 00:00:00+00,मूत्राशय
BarthelIndex/007,BarthelIndex/007,,BARTHEL/2026,,TOILET USE,radio,,,true,,7,true,2026-09-04 00:00:00+00,शौचालय प्रयोग
BarthelIndex/008,BarthelIndex/008,,BARTHEL/2026,,TRANSFERS (BED TO CHAIR AND BACK),radio,,,true,,8,true,2026-09-04 00:00:00+00,स्थानान्तरण (बेड से कुर्सी और पीठ तक)
BarthelIndex/009,BarthelIndex/009,,BARTHEL/2026,,MOBILITY (ON LEVEL SURFACES),radio,,,true,,9,true,2026-09-04 00:00:00+00,गतिशीलता (स्तर की सतहों पर)
BarthelIndex/010,BarthelIndex/010,,BARTHEL/2026,,STAIRS,radio,,,true,,10,true,2026-09-04 00:00:00+00,सीढ़ियाँ
BDI-II/001,BDI-II/001,,BDI-II/2026,,Sadness,radio,,,true,,1,true,2026-09-04 00:00:00+00,दुख
BDI-II/002,BDI-II/002,,BDI-II/2026,,Pessimism,radio,,,true,,2,true,2026-09-04 00:00:00+00,निराशावाद
BDI-II/003,BDI-II/003,,BDI-II/2026,,Past Failure,radio,,,true,,3,true,2026-09-04 00:00:00+00,पूर्व असफलता
BDI-II/004,BDI-II/004,,BDI-II/2026,,Loss of Pleasure,radio,,,true,,4,true,2026-09-04 00:00:00+00,आनंद का ह्रास
BDI-II/005,BDI-II/005,,BDI-II/2026,,Guilty Feelings,radio,,,true,,5,true,2026-09-04 00:00:00+00,अपराधी भाव
BDI-II/006,BDI-II/006,,BDI-II/2026,,Punishment Feelings,radio,,,true,,6,true,2026-09-04 00:00:00+00,भावना
BDI-II/007,BDI-II/007,,BDI-II/2026,,Self-Dislike,radio,,,true,,7,true,2026-09-04 00:00:00+00,स्व-नापसंद
BDI-II/008,BDI-II/008,,BDI-II/2026,,Self-Criticalness,radio,,,true,,8,true,2026-09-04 00:00:00+00,आत्म-आलोचना
BDI-II/009,BDI-II/009,,BDI-II/2026,,Suicidal Thoughts or Wishes,radio,,,true,,9,true,2026-09-04 00:00:00+00,आत्महत्या संबंधी विचार या इच्छाएँ
BDI-II/010,BDI-II/010,,BDI-II/2026,,Crying,radio,,,true,,10,true,2026-09-04 00:00:00+00,रोना
BDI-II/011,BDI-II/011,,BDI-II/2026,,Agitation,radio,,,true,,11,true,2026-09-04 00:00:00+00,आंदोलन
BDI-II/012,BDI-II/012,,BDI-II/2026,,Loss of Interest,radio,,,true,,12,true,2026-09-04 00:00:00+00,रुचि का ह्रास
BDI-II/013,BDI-II/013,,BDI-II/2026,,Indecisiveness,radio,,,true,,13,true,2026-09-04 00:00:00+00,अनिश्चयशीलता
BDI-II/014,BDI-II/014,,BDI-II/2026,,Worthlessness,radio,,,true,,14,true,2026-09-04 00:00:00+00,बेकारपन
BDI-II/015,BDI-II/015,,BDI-II/2026,,Loss of Energy,radio,,,true,,15,true,2026-09-04 00:00:00+00,ऊर्जा हानि
BDI-II/016,BDI-II/016,,BDI-II/2026,,Changes in Sleeping Pattern,radio,,,true,,16,true,2026-09-04 00:00:00+00,नींद के स्वरूप में परिवर्तन
BDI-II/017,BDI-II/017,,BDI-II/2026,,Irritability,radio,,,true,,17,true,2026-09-04 00:00:00+00,चिड़चिड़ापन
BDI-II/018,BDI-II/018,,BDI-II/2026,,Changes in Appetite,radio,,,true,,18,true,2026-09-04 00:00:00+00,भूख में परिवर्तन
BDI-II/019,BDI-II/019,,BDI-II/2026,,Concentration Difficulty,radio,,,true,,19,true,2026-09-04 00:00:00+00,एकाग्रता में कठिनाई
BDI-II/020,BDI-II/020,,BDI-II/2026,,Tiredness or Fatigue,radio,,,true,,20,true,2026-09-04 00:00:00+00,थकान
BDI-II/021,BDI-II/021,,BDI-II/2026,,Loss of Interest in Sex,radio,,,true,,21,true,2026-09-04 00:00:00+00,यौन रुचि में कमी
COMPASS-31/001,COMPASS-31/001,,COMPASS-31/2026,,"In the past year, have you ever felt faint, dizzy, “goofy”, or had difficulty thinking soon after standing up from a sitting or lying position?",radio,,,true,If No ? skip to Q5,1,true,2026-09-04 00:00:00+00,"पिछले एक वर्ष में, क्या आपको कभी चक्कर आए हैं, चक्कर आने लगे हैं, बेहोश हो गए हैं, या बैठने या लेटने की स्थिति से खड़े होने के बाद सोचने में कठिनाई हुई है?"
COMPASS-31/002,COMPASS-31/002,,COMPASS-31/2026,,"When standing up, how frequently do you get these feelings or symptoms?",radio,,,true,,2,true,2026-09-04 00:00:00+00,खड़े होने पर आपको ये भावनाएँ या लक्षण कितनी बार आते हैं?
COMPASS-31/003,COMPASS-31/003,,COMPASS-31/2026,,How would you rate the severity of these feelings or symptoms?,radio,,,true,,3,true,2026-09-04 00:00:00+00,आप इन भावनाओं या लक्षणों की गंभीरता को कैसे आंकेंगे?
COMPASS-31/004,COMPASS-31/004,,COMPASS-31/2026,,"In the past year, have these feelings or symptoms that you have experienced:",radio,,,true,,4,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, आपने जिन भावनाओं या लक्षणों का अनुभव किया है:"
COMPASS-31/005,COMPASS-31/005,,COMPASS-31/2026,,"In the past year, have you ever noticed color changes in your skin, such as red, white, or purple?",radio,,,true,If No ? skip to Q8,5,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपने कभी अपनी त्वचा में लाल, सफेद या बैंगनी रंग के परिवर्तन देखे हैं?"
COMPASS-31/006,COMPASS-31/006,,COMPASS-31/2026,,What parts of your body are affected by these color changes? (Check all that apply),radio,,,true,,6,true,2026-09-04 00:00:00+00,आपके शरीर के कौन से अंग इन रंग परिवर्तनों से प्रभावित होते हैं? (सभी लागू होने वाले विकल्पों को चिह्नित करें)
COMPASS-31/007,COMPASS-31/007,,COMPASS-31/2026,,Are these changes in your skin color:,radio,,,true,,7,true,2026-09-04 00:00:00+00,क्या आपके त्वचा के रंग में ये परिवर्तन हैंः
COMPASS-31/008,COMPASS-31/008,,COMPASS-31/2026,,"In the past 5 years, what changes, if any, have occurred in your general body sweating?",radio,,,true,,8,true,2026-09-04 00:00:00+00,"पिछले ५ वर्षों में, आपके सामान्य शरीर में पसीने में क्या परिवर्तन हुए हैं?"
COMPASS-31/009,COMPASS-31/009,,COMPASS-31/2026,,Do your eyes feel excessively dry?,radio,,,true,,9,true,2026-09-04 00:00:00+00,क्या आपकी आँखें अत्यधिक शुष्क हो जाती हैं?
COMPASS-31/010,COMPASS-31/010,,COMPASS-31/2026,,Does your mouth feel excessively dry?,radio,,,true,,10,true,2026-09-04 00:00:00+00,क्या आपके मुँह में अत्यधिक सूखापन महसूस होता है?
COMPASS-31/011,COMPASS-31/011,,COMPASS-31/2026,,"For the symptom of dry eyes or dry mouth that you have had for the longest period of time, is this symptom:",radio,,,true,,11,true,2026-09-04 00:00:00+00,"आपकी आँखें लंबे समय से सूखी रहने और मुँह सूखने के लक्षण के बारे में, यह लक्षण हैः"
COMPASS-31/012,COMPASS-31/012,,COMPASS-31/2026,,"In the past year, have you noticed any changes in how quickly you get full when eating a meal?",radio,,,true,,12,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपने देखा है कि भोजन करते समय आपको कितनी जल्दी भरा हुआ महसूस होता है?"
COMPASS-31/013,COMPASS-31/013,,COMPASS-31/2026,,"In the past year, have you felt excessively full or persistently full (bloated feeling) after a meal?",radio,,,true,,13,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपको भोजन के बाद अत्यधिक भरा हुआ या लगातार भरा हुआ (फूला हुआ महसूस) महसूस हुआ है?"
COMPASS-31/014,COMPASS-31/014,,COMPASS-31/2026,,"In the past year, have you vomited after a meal?",radio,,,true,,14,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपको भोजन करने के बाद मतली हुई है?"
COMPASS-31/015,COMPASS-31/015,,COMPASS-31/2026,,"In the past year, have you had a cramping or colicky abdominal pain?",radio,,,true,,15,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपको पेट में ऐंठन या पेट दर्द हुआ था?"
COMPASS-31/016,COMPASS-31/016,,COMPASS-31/2026,,"In the past year, have you had any bouts of diarrhea?",radio,,,true,If No ? skip to Q20,16,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपको कभी दस्त हुए हैं?"
COMPASS-31/017,COMPASS-31/017,,COMPASS-31/2026,,How frequently does this occur?,radio,,,true,,17,true,2026-09-04 00:00:00+00,यह कितनी बार होता है?
COMPASS-31/018,COMPASS-31/018,,COMPASS-31/2026,,How severe are these bouts of diarrhea?,radio,,,true,,18,true,2026-09-04 00:00:00+00,ये दस्त की घटनाएँ कितनी गंभीर हैं?
COMPASS-31/019,COMPASS-31/019,,COMPASS-31/2026,,Are your bouts of diarrhea getting:,radio,,,true,,19,true,2026-09-04 00:00:00+00,क्या आपके दस्त की घटनाएँ:
COMPASS-31/020,COMPASS-31/020,,COMPASS-31/2026,,"In the past year, have you been constipated?",radio,,,true,If No ? skip to Q24,20,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपको कब्ज की समस्या रही है?"
COMPASS-31/021,COMPASS-31/021,,COMPASS-31/2026,,How frequently are you constipated?,radio,,,true,,21,true,2026-09-04 00:00:00+00,आपको कितनी बार कब्ज होता है?
COMPASS-31/022,COMPASS-31/022,,COMPASS-31/2026,,How severe are these episodes of constipation?,radio,,,true,,22,true,2026-09-04 00:00:00+00,कब्ज के ये प्रकरण कितने गंभीर हैं?
COMPASS-31/023,COMPASS-31/023,,COMPASS-31/2026,,Is your constipation getting:,radio,,,true,,23,true,2026-09-04 00:00:00+00,क्या आपको कब्ज हो रही हैः
COMPASS-31/024,COMPASS-31/024,,COMPASS-31/2026,,"In the past year, have you ever lost control of your bladder function?",radio,,,true,,24,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपने कभी अपनी मूत्राशय के कार्य पर नियंत्रण खो दिया है?"
COMPASS-31/025,COMPASS-31/025,,COMPASS-31/2026,,"In the past year, have you had difficulty passing urine?",radio,,,true,,25,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपको पेशाब करने में कठिनाई हुई थी?"
COMPASS-31/026,COMPASS-31/026,,COMPASS-31/2026,,"In the past year, have you had trouble completely emptying your bladder?",radio,,,true,,26,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपको अपने मूत्राशय को पूरी तरह से खाली करने में परेशानी हुई है?"
COMPASS-31/027,COMPASS-31/027,,COMPASS-31/2026,,"In the past year, without sunglasses or tinted glasses, has bright light bothered your eyes?",radio,,,true,If Never ? skip to Q29,27,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, धूप के चश्मे या रंगीन चश्मे के बिना, क्या उज्ज्वल प्रकाश ने आपकी आँखों को परेशान किया है?"
COMPASS-31/028,COMPASS-31/028,,COMPASS-31/2026,,How severe is this sensitivity to bright light?,radio,,,true,,28,true,2026-09-04 00:00:00+00,चमकी प्रकाश के प्रति यह संवेदनशीलता कितनी गंभीर है?
COMPASS-31/029,COMPASS-31/029,,COMPASS-31/2026,,"In the past year, have you had trouble focusing your eyes?",radio,,,true,If Never ? skip to Q31,29,true,2026-09-04 00:00:00+00,"पिछले वर्ष में, क्या आपको अपनी आँखों पर ध्यान केंद्रित करने में परेशानी हुई है?"
COMPASS-31/030,COMPASS-31/030,,COMPASS-31/2026,,How severe is this focusing problem?,radio,,,true,,30,true,2026-09-04 00:00:00+00,यह ध्यान केंद्रित करने की समस्या कितनी गंभीर है?
COMPASS-31/031,COMPASS-31/031,,COMPASS-31/2026,,Is the most troublesome symptom with your eyes (i.e. sensitivity to bright light or trouble focusing) getting:,radio,,,true,,31,true,2026-09-04 00:00:00+00,क्या आपकी आँखों में सबसे अधिक परेशानी का कारण यह लक्षण है (अर्थात चमकीली रोशनी के प्रति संवेदनशीलता या ध्यान केंद्रित करने में परेशानी) :
DASS-21/001,DASS-21/001,,DASS-21/2026,,I found it hard to wind down,radio,,,true,,1,true,2026-09-04 00:00:00+00,मुझे इसे बंद करना कठिन लगा
DASS-21/002,DASS-21/002,,DASS-21/2026,,I was aware of dryness of my mouth,radio,,,true,,2,true,2026-09-04 00:00:00+00,मुझे अपने मुँह में सूखापन के बारे में पता था।
DASS-21/003,DASS-21/003,,DASS-21/2026,,I couldn’t seem to experience any positive feeling at all,radio,,,true,,3,true,2026-09-04 00:00:00+00,मुझे कोई सकारात्मक भावना का अनुभव नहीं हुआ।
DASS-21/004,DASS-21/004,,DASS-21/2026,,"I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)",radio,,,true,,4,true,2026-09-04 00:00:00+00,"मुझे सांस लेने में कठिनाई हुई (उदाहरण के लिए अत्यधिक तेज़ साँस लेना, शारीरिक परिश्रम के अभाव में भी साँस लेने में तकलीफ)"
DASS-21/005,DASS-21/005,,DASS-21/2026,,I found it difficult to work up the initiative to do things,radio,,,true,,5,true,2026-09-04 00:00:00+00,मुझे काम करने के लिए पहल करना कठिन लगा
DASS-21/006,DASS-21/006,,DASS-21/2026,,I tended to over-react to situations,radio,,,true,,6,true,2026-09-04 00:00:00+00,मैं परिस्थितियों पर अत्यधिक प्रतिक्रिया करता था
DASS-21/007,DASS-21/007,,DASS-21/2026,,I experienced trembling (e.g. in the hands),radio,,,true,,7,true,2026-09-04 00:00:00+00,मुझे कंपन (उदाहरण के लिए हाथों में) महसूस हुआ
DASS-21/008,DASS-21/008,,DASS-21/2026,,I felt that I was using a lot of nervous energy,radio,,,true,,8,true,2026-09-04 00:00:00+00,मुझे लगा कि मैं बहुत अधिक घबराहट ऊर्जा का उपयोग कर रहा हूँ
DASS-21/009,DASS-21/009,,DASS-21/2026,,I was worried about situations in which I might panic and make a fool of myself,radio,,,true,,9,true,2026-09-04 00:00:00+00,मैं उन स्थितियों के बारे में चिंतित थी जिनमें मैं घबरा जाऊँ और खुद को मूर्ख बना लूँ।
DASS-21/010,DASS-21/010,,DASS-21/2026,,I felt that I had nothing to look forward to,radio,,,true,,10,true,2026-09-04 00:00:00+00,मुझे लगा कि मेरे पास आगे देखने के लिए कुछ नहीं है
DASS-21/011,DASS-21/011,,DASS-21/2026,,I found myself getting agitated,radio,,,true,,11,true,2026-09-04 00:00:00+00,मुझे बेचैनी हो रही थी
