option_id,question_id,option_label,option_value,points,display_order,status,created_at
ALSFRS-R/002/01,ALSFRS-R/002,सामान्य,0,4,1,true,2026-09-04 00:00:00+00
ALSFRS-R/002/02,ALSFRS-R/002,मुँह में लार की थोड़ी लेकिन निश्चित अधिकता; रात के समय लार टपक सकती है,1,3,2,true,2026-09-04 00:00:00+00
ALSFRS-R/002/03,ALSFRS-R/002,मध्यम रूप से अत्यधिक लार; कम से कम लार गिर सकती है,2,2,3,true,2026-09-04 00:00:00+00
ALSFRS-R/002/04,ALSFRS-R/002,कुछ लार के साथ लार की अधिकता को चिह्नित किया गया,3,1,4,true,2026-09-04 00:00:00+00
ALSFRS-R/002/05,ALSFRS-R/002,चिन्हित लार; निरंतर टिशू या रूमाल की आवश्यकता होती है,4,0,5,true,2026-09-04 00:00:00+00
ALSFRS-R/003/01,ALSFRS-R/003,सामान्य,0,4,1,true,2026-09-04 00:00:00+00
ALSFRS-R/003/02,ALSFRS-R/003,जल्दी खाने की समस्या; कभी-कभी दम घुटना,1,3,2,true,2026-09-04 00:00:00+00
ALSFRS-R/003/03,ALSFRS-R/003,आहार-विहार में परिवर्तन,2,2,3,true,2026-09-04 00:00:00+00
ALSFRS-R/003/04,ALSFRS-R/003,पूरक ट्यूब फीडिंग की आवश्यकता है,3,1,4,true,2026-09-04 00:00:00+00
ALSFRS-R/003/05,ALSFRS-R/003,मुंह से कुछ नहीं (एनपीओ); विशेष रूप से पैरेंट्रल या एंटरल फीडिंग,4,0,5,true,2026-09-04 00:00:00+00
ALSFRS-R/004/01,ALSFRS-R/004,सामान्य,0,4,1,true,2026-09-04 00:00:00+00
ALSFRS-R/004/02,ALSFRS-R/004,धीमा या टेढ़ा; सभी शब्द सुपाठ्य हैं,1,3,2,true,2026-09-04 00:00:00+00
ALSFRS-R/004/03,ALSFRS-R/004,सभी शब्द सुपाठ्य नहीं हैं,2,2,3,true,2026-09-04 00:00:00+00
ALSFRS-R/004/04,ALSFRS-R/004,कलम पकड़ने में सक्षम लेकिन लिखने में असमर्थ,3,1,4,true,2026-09-04 00:00:00+00
ALSFRS-R/004/05,ALSFRS-R/004,कलम पकड़ने में असमर्थ,4,0,5,true,2026-09-04 00:00:00+00
ALSFRS-R/005/01,ALSFRS-R/005,कोई गैस्ट्रोस्टोमी/सामान्य नहीं,0,4,1,true,2026-09-04 00:00:00+00
ALSFRS-R/005/02,ALSFRS-R/005,कोई गैस्ट्रोस्टोमी नहीं; कुछ हद तक धीमा और अनाड़ी लेकिन किसी मदद की आवश्यकता नहीं,1,3,2,true,2026-09-04 00:00:00+00
ALSFRS-R/005/03,ALSFRS-R/005,कोई गैस्ट्रोस्टोमी नहीं; अनाड़ी और धीमी गति से होते हुए भी अधिकांश खाद्य पदार्थों में कटौती कर सकता है; कुछ मदद की जरूरत है,2,2,3,true,2026-09-04 00:00:00+00
ALSFRS-R/005/04,ALSFRS-R/005,कोई गैस्ट्रोस्टोमी नहीं; भोजन किसी के द्वारा काटा जाना चाहिए लेकिन फिर भी धीरे-धीरे खिलाया जा सकता है,3,1,4,true,2026-09-04 00:00:00+00
ALSFRS-R/005/05,ALSFRS-R/005,कोई गैस्ट्रोस्टोमी नहीं; खिलाने की जरूरत है,4,0,5,true,2026-09-04 00:00:00+00
ALSFRS-R/006/01,ALSFRS-R/006,सामान्य,0,4,1,true,2026-09-04 00:00:00+00
ALSFRS-R/006/02,ALSFRS-R/006,प्रयास या कम दक्षता के साथ स्वतंत्र और पूर्ण आत्म-देखभाल,1,3,2,true,2026-09-04 00:00:00+00
ALSFRS-R/006/03,ALSFRS-R/006,रुक-रुक कर सहायता या स्थानापन्न तरीके,2,2,3,true,2026-09-04 00:00:00+00
ALSFRS-R/006/04,ALSFRS-R/006,स्वयं की देखभाल के लिए परिचारक की आवश्यकता है,3,1,4,true,2026-09-04 00:00:00+00
ALSFRS-R/006/05,ALSFRS-R/006,पूर्ण निर्भरता,4,0,5,true,2026-09-04 00:00:00+00
ALSFRS-R/007/01,ALSFRS-R/007,सामान्य,0,4,1,true,2026-09-04 00:00:00+00
ALSFRS-R/007/02,ALSFRS-R/007,कुछ हद तक धीमा और अनाड़ी लेकिन किसी मदद की जरूरत नहीं,1,3,2,true,2026-09-04 00:00:00+00
ALSFRS-R/007/03,ALSFRS-R/007,अकेले पलट सकते हैं या चादरें समायोजित कर सकते हैं लेकिन बड़ी कठिनाई से,2,2,3,true,2026-09-04 00:00:00+00
ALSFRS-R/007/04,ALSFRS-R/007,पहल कर सकते हैं लेकिन अकेले चादरें पलट या समायोजित नहीं कर सकते,3,1,4,true,2026-09-04 00:00:00+00
ALSFRS-R/007/05,ALSFRS-R/007,असहाय,4,0,5,true,2026-09-04 00:00:00+00
ALSFRS-R/008/01,ALSFRS-R/008,सामान्य,0,4,1,true,2026-09-04 00:00:00+00
ALSFRS-R/008/02,ALSFRS-R/008,प्रारंभिक महत्वाकांक्षा संबंधी कठिनाइयाँ,1,3,2,true,2026-09-04 00:00:00+00
ALSFRS-R/008/03,ALSFRS-R/008,सहायता से चलता है,2,2,3,true,2026-09-04 00:00:00+00
ALSFRS-R/008/04,ALSFRS-R/008,केवल नॉनएम्बुलेटरी फंक्शनल मूवमेंट,3,1,4,true,2026-09-04 00:00:00+00
ALSFRS-R/008/05,ALSFRS-R/008,कोई उद्देश्यपूर्ण पैर आंदोलन नहीं,4,0,5,true,2026-09-04 00:00:00+00
ALSFRS-R/009/01,ALSFRS-R/009,सामान्य,0,4,1,true,2026-09-04 00:00:00+00
ALSFRS-R/009/02,ALSFRS-R/009,धीमा,1,3,2,true,2026-09-04 00:00:00+00
ALSFRS-R/009/03,ALSFRS-R/009,हल्की अस्थिरता या थकान,2,2,3,true,2026-09-04 00:00:00+00
ALSFRS-R/009/04,ALSFRS-R/009,सहायता की जरूरत है,3,1,4,true,2026-09-04 00:00:00+00
ALSFRS-R/009/05,ALSFRS-R/009,नहीं कर सकते,4,0,5,true,2026-09-04 00:00:00+00
ALSFRS-R/010/01,ALSFRS-R/010,सामान्य,0,4,1,true,2026-09-04 00:00:00+00
ALSFRS-R/010/02,ALSFRS-R/010,"न्यूनतम परिश्रम (चलना, बात करना आदि) के साथ सांस की तकलीफ",1,3,2,true,2026-09-04 00:00:00+00
ALSFRS-R/010/03,ALSFRS-R/010,आराम करने पर सांस फूलना,2,2,3,true,2026-09-04 00:00:00+00
ALSFRS-R/010/04,ALSFRS-R/010,रुक-रुक कर (जैसे रात में) वेंटिलेटरी सहायता की आवश्यकता होती है,3,1,4,true,2026-09-04 00:00:00+00
ALSFRS-R/010/05,ALSFRS-R/010,वेंटीलेटर पर निर्भर,4,0,5,true,2026-09-04 00:00:00+00
AMTS/001/01,AMTS/001,सही जवाब,0,1,1,true,2026-09-04 00:00:00+00
AMTS/001/02,AMTS/001,ग़लत उत्तर,1,0,2,true,2026-09-04 00:00:00+00
AMTS/002/01,AMTS/002,सही जवाब,0,1,1,true,2026-09-04 00:00:00+00
AMTS/002/02,AMTS/002,ग़लत उत्तर,1,0,2,true,2026-09-04 00:00:00+00
AMTS/003/01,AMTS/003,सही जवाब,0,1,1,true,2026-09-04 00:00:00+00
AMTS/003/02,AMTS/003,ग़लत उत्तर,1,0,2,true,2026-09-04 00:00:00+00
AMTS/004/01,AMTS/004,सही जवाब,0,1,1,true,2026-09-04 00:00:00+00
AMTS/004/02,AMTS/004,ग़लत उत्तर,1,0,2,true,2026-09-04 00:00:00+00
AMTS/005/01,AMTS/005,सही जवाब,0,1,1,true,2026-09-04 00:00:00+00
AMTS/005/02,AMTS/005,ग़लत उत्तर,1,0,2,true,2026-09-04 00:00:00+00
AMTS/006/01,AMTS/006,सही जवाब,0,1,1,true,2026-09-04 00:00:00+00
AMTS/006/02,AMTS/006,ग़लत उत्तर,1,0,2,true,2026-09-04 00:00:00+00
AMTS/007/01,AMTS/007,सही जवाब,0,1,1,true,2026-09-04 00:00:00+00
AMTS/007/02,AMTS/007,ग़लत उत्तर,1,0,2,true,2026-09-04 00:00:00+00
AMTS/008/01,AMTS/008,सही जवाब,0,1,1,true,2026-09-04 00:00:00+00
AMTS/008/02,AMTS/008,ग़लत उत्तर,1,0,2,true,2026-09-04 00:00:00+00
AMTS/009/01,AMTS/009,सही जवाब,0,1,1,true,2026-09-04 00:00:00+00
AMTS/009/02,AMTS/009,ग़लत उत्तर,1,0,2,true,2026-09-04 00:00:00+00
AMTS/010/01,AMTS/010,सही जवाब,0,1,1,true,2026-09-04 00:00:00+00
AMTS/010/02,AMTS/010,ग़लत उत्तर,1,0,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/001/01,ASRS-V1.1/001,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/001/02,ASRS-V1.1/001,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/001/03,ASRS-V1.1/001,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/001/04,ASRS-V1.1/001,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/001/05,ASRS-V1.1/001,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/002/01,ASRS-V1.1/002,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/002/02,ASRS-V1.1/002,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/002/03,ASRS-V1.1/002,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/002/04,ASRS-V1.1/002,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/002/05,ASRS-V1.1/002,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/003/01,ASRS-V1.1/003,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/003/02,ASRS-V1.1/003,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/003/03,ASRS-V1.1/003,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/003/04,ASRS-V1.1/003,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/003/05,ASRS-V1.1/003,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/004/01,ASRS-V1.1/004,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/004/02,ASRS-V1.1/004,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/004/03,ASRS-V1.1/004,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/004/04,ASRS-V1.1/004,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/004/05,ASRS-V1.1/004,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/005/01,ASRS-V1.1/005,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/005/02,ASRS-V1.1/005,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/005/03,ASRS-V1.1/005,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/005/04,ASRS-V1.1/005,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/005/05,ASRS-V1.1/005,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/006/01,ASRS-V1.1/006,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/006/02,ASRS-V1.1/006,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/006/03,ASRS-V1.1/006,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/006/04,ASRS-V1.1/006,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/006/05,ASRS-V1.1/006,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/007/01,ASRS-V1.1/007,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/007/02,ASRS-V1.1/007,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/007/03,ASRS-V1.1/007,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/007/04,ASRS-V1.1/007,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/007/05,ASRS-V1.1/007,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/008/01,ASRS-V1.1/008,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/008/02,ASRS-V1.1/008,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/008/03,ASRS-V1.1/008,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/008/04,ASRS-V1.1/008,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/008/05,ASRS-V1.1/008,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/009/01,ASRS-V1.1/009,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/009/02,ASRS-V1.1/009,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/009/03,ASRS-V1.1/009,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/009/04,ASRS-V1.1/009,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/009/05,ASRS-V1.1/009,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/010/01,ASRS-V1.1/010,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/010/02,ASRS-V1.1/010,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/010/03,ASRS-V1.1/010,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/010/04,ASRS-V1.1/010,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/010/05,ASRS-V1.1/010,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/011/01,ASRS-V1.1/011,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/011/02,ASRS-V1.1/011,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/011/03,ASRS-V1.1/011,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/011/04,ASRS-V1.1/011,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/011/05,ASRS-V1.1/011,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/012/01,ASRS-V1.1/012,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/012/02,ASRS-V1.1/012,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/012/03,ASRS-V1.1/012,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/012/04,ASRS-V1.1/012,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/012/05,ASRS-V1.1/012,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/013/01,ASRS-V1.1/013,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/013/02,ASRS-V1.1/013,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/013/03,ASRS-V1.1/013,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/013/04,ASRS-V1.1/013,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/013/05,ASRS-V1.1/013,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/014/01,ASRS-V1.1/014,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/014/02,ASRS-V1.1/014,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/014/03,ASRS-V1.1/014,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/014/04,ASRS-V1.1/014,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/014/05,ASRS-V1.1/014,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/015/01,ASRS-V1.1/015,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/015/02,ASRS-V1.1/015,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/015/03,ASRS-V1.1/015,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/015/04,ASRS-V1.1/015,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/015/05,ASRS-V1.1/015,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/016/01,ASRS-V1.1/016,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/016/02,ASRS-V1.1/016,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/016/03,ASRS-V1.1/016,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/016/04,ASRS-V1.1/016,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/016/05,ASRS-V1.1/016,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/017/01,ASRS-V1.1/017,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/017/02,ASRS-V1.1/017,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/017/03,ASRS-V1.1/017,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/017/04,ASRS-V1.1/017,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/017/05,ASRS-V1.1/017,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
ASRS-V1.1/018/01,ASRS-V1.1/018,कभी नहीं,0,0,1,true,2026-09-04 00:00:00+00
ASRS-V1.1/018/02,ASRS-V1.1/018,कभी-कभार,1,1,2,true,2026-09-04 00:00:00+00
ASRS-V1.1/018/03,ASRS-V1.1/018,कभी-कभी,2,2,3,true,2026-09-04 00:00:00+00
ASRS-V1.1/018/04,ASRS-V1.1/018,अक्सर,3,3,4,true,2026-09-04 00:00:00+00
ASRS-V1.1/018/05,ASRS-V1.1/018,बहुत बार,4,4,5,true,2026-09-04 00:00:00+00
BarthelIndex/001/01,BarthelIndex/001,असमर्थ,0,0,1,true,2026-09-04 00:00:00+00
BarthelIndex/001/02,BarthelIndex/001,"काटने, मक्खन फैलाने आदि में सहायता की आवश्यकता होती है, या संशोधित आहार की आवश्यकता होती है",1,5,2,true,2026-09-04 00:00:00+00
BarthelIndex/001/03,BarthelIndex/001,स्वतंत्र,2,10,3,true,2026-09-04 00:00:00+00
BarthelIndex/002/01,BarthelIndex/002,आश्रित,0,0,1,true,2026-09-04 00:00:00+00
BarthelIndex/002/02,BarthelIndex/002,स्वतंत्र (या शॉवर में),1,5,2,true,2026-09-04 00:00:00+00
BarthelIndex/003/01,BarthelIndex/003,व्यक्तिगत देखभाल में मदद की ज़रूरत है,0,0,1,true,2026-09-04 00:00:00+00
BarthelIndex/003/02,BarthelIndex/003,स्वतंत्र चेहरा/बाल/दांत/शेविंग (उपकरण उपलब्ध कराए गए),1,5,2,true,2026-09-04 00:00:00+00
BarthelIndex/004/01,BarthelIndex/004,आश्रित,0,0,1,true,2026-09-04 00:00:00+00
BarthelIndex/004/02,BarthelIndex/004,मदद की ज़रूरत है लेकिन बिना सहायता के लगभग आधा काम कर सकता है,1,5,2,true,2026-09-04 00:00:00+00
BarthelIndex/004/03,BarthelIndex/004,"स्वतंत्र (बटन, ज़िप, लेस आदि सहित)",2,10,3,true,2026-09-04 00:00:00+00
BarthelIndex/005/01,BarthelIndex/005,असंयमी (या एनीमा देने की आवश्यकता है),0,0,1,true,2026-09-04 00:00:00+00
BarthelIndex/005/02,BarthelIndex/005,यदा-कदा दुर्घटना,1,5,2,true,2026-09-04 00:00:00+00
BarthelIndex/005/03,BarthelIndex/005,महाद्वीप,2,10,3,true,2026-09-04 00:00:00+00
BarthelIndex/006/01,BarthelIndex/006,"असंयमी, या कैथीटेराइज़्ड और अकेले प्रबंधन करने में असमर्थ",0,0,1,true,2026-09-04 00:00:00+00
BarthelIndex/006/02,BarthelIndex/006,यदा-कदा दुर्घटना,1,5,2,true,2026-09-04 00:00:00+00
BarthelIndex/006/03,BarthelIndex/006,महाद्वीप,2,10,3,true,2026-09-04 00:00:00+00
BarthelIndex/007/01,BarthelIndex/007,आश्रित,0,0,1,true,2026-09-04 00:00:00+00
BarthelIndex/007/02,BarthelIndex/007,"कुछ मदद की जरूरत है, लेकिन अकेले ही कुछ कर सकते हैं",1,5,2,true,2026-09-04 00:00:00+00
BarthelIndex/007/03,BarthelIndex/007,"स्वतंत्र (चालू और बंद करना, कपड़े पहनना, पोंछना)",2,10,3,true,2026-09-04 00:00:00+00
BarthelIndex/008/01,BarthelIndex/008,"असमर्थ, कोई बैठने का संतुलन नहीं",0,0,1,true,2026-09-04 00:00:00+00
BarthelIndex/008/02,BarthelIndex/008,"प्रमुख सहायता (एक या दो लोग, शारीरिक), बैठ सकते हैं",1,5,2,true,2026-09-04 00:00:00+00
BarthelIndex/008/03,BarthelIndex/008,छोटी-मोटी मदद (मौखिक या शारीरिक),2,10,3,true,2026-09-04 00:00:00+00
BarthelIndex/008/04,BarthelIndex/008,स्वतंत्र,3,15,4,true,2026-09-04 00:00:00+00
BarthelIndex/009/01,BarthelIndex/009,स्थिर या <50 गज,0,0,1,true,2026-09-04 00:00:00+00
BarthelIndex/009/02,BarthelIndex/009,"व्हीलचेयर स्वतंत्र, कोनों सहित, > 50 गज",1,5,2,true,2026-09-04 00:00:00+00
BarthelIndex/009/03,BarthelIndex/009,एक व्यक्ति की मदद से चलता है (मौखिक या शारीरिक) > 50 गज,2,10,3,true,2026-09-04 00:00:00+00
BarthelIndex/009/04,BarthelIndex/009,"स्वतंत्र (लेकिन किसी भी सहायता का उपयोग कर सकते हैं; उदाहरण के लिए, छड़ी) > 50 गज",3,15,4,true,2026-09-04 00:00:00+00
BarthelIndex/010/01,BarthelIndex/010,असमर्थ,0,0,1,true,2026-09-04 00:00:00+00
BarthelIndex/010/02,BarthelIndex/010,"मदद की ज़रूरत है (मौखिक, शारीरिक, सहायक सहायता)",1,5,2,true,2026-09-04 00:00:00+00
BarthelIndex/010/03,BarthelIndex/010,स्वतंत्र,2,10,3,true,2026-09-04 00:00:00+00
BDI-II/001/01,BDI-II/001,मुझे दुःख नहीं होता.,0,0,1,true,2026-09-04 00:00:00+00
BDI-II/001/02,BDI-II/001,मैं ज्यादातर समय दुखी महसूस करता हूं।,1,1,2,true,2026-09-04 00:00:00+00
BDI-II/001/03,BDI-II/001,मैं हर वक्त दुखी रहता हूं.,2,2,3,true,2026-09-04 00:00:00+00
BDI-II/001/04,BDI-II/001,मैं इतना दुखी या दुखी हूं कि मैं इसे बर्दाश्त नहीं कर सकता।,3,3,4,true,2026-09-04 00:00:00+00
BDI-II/002/01,BDI-II/002,मैं अपने भविष्य को लेकर निराश नहीं हूं.,0,0,1,true,2026-09-04 00:00:00+00
BDI-II/002/02,BDI-II/002,मैं अपने भविष्य के बारे में पहले की तुलना में अधिक निराश महसूस करता हूँ।,1,1,2,true,2026-09-04 00:00:00+00
BDI-II/002/03,BDI-II/002,मुझे उम्मीद नहीं है कि चीजें मेरे लिए काम करेंगी।,2,2,3,true,2026-09-04 00:00:00+00
